institution,institute_id,experiment_id,source,model_id,forcing,parent_experiment_id,parent_experiment_rip,branch_time,contact,history,comment,initialization_method,physics_version,tracking_id,product,experiment,frequency,creation_date,Conventions,project_id,table_id,title,parent_experiment,modeling_realm,realization,cmor_version,collection,references,acknowledgements,cesm_casename,cesm_repotag,cesm_compset,resolution,forcing_note,processed_by,processing_code_information,gfdl_experiment_name,branch_time_YMDH,CCCma_runid,CCCma_parent_runid,CCCma_data_licence,version_number,notes,mo_runid,nco_openmp_thread_number,CDI,CDO
"MRI (Meteorological Research Institute, Tsukuba, Japan)",MRI,past1000,"MRI-CGCM3 2011 atmosphere: GSMUV (gsmuv-101216, TL159L48); ocean: MRI.COM3 (MRICOM-3_0-20101116, 1x0.5L51); sea ice: MRI.COM3; land: HAL (HAL_cmip5_v0.31_04); aerosol: MASINGAR-mk2 (masingar_mk2-20101111_1130, TL95L48)",MRI-CGCM3,N/A,N/A,N/A,0.0,"Kohei Yoshida (kyoshida@mri-jma.go.jp), Seiji Yukimoto (yukimoto@mri-jma.go.jp)",Output from /clpc135/dsk00/kyoshida/past1000/run-C_past1000-05-01/DATA/grads/sfc_avr_mon.ctl 2014-02-13T04:44:42Z CMOR rewrote data to comply with CF standards and CMIP5 requirements.,,1,1,956e0eaa-ce5d-4c90-aebe-f5e10bbad76e,output,last millennium,mon,2014-02-13T04:44:42Z,CF-1.4,CMIP5,Table Amon (01 February 2012) 81f919710c21dca8a1753166d5bac090,MRI-CGCM3 model output prepared for CMIP5 last millennium,N/A,atmos,1,2.8.1,lm,"Model described by Yukimoto et al. (Technical Report of the Meteorological Research Institute, 2011, 64, 83pp.)",,,,,,,,,,,,,,,,,,,
"NASA/GISS (Goddard Institute for Space Studies) New York, NY",NASA-GISS,historical,GISS-E2-R-E4rhLMgTcs Atmosphere: GISS-E2; Ocean: R,GISS-E2-R,GHG LU Sl Vl (including orbital),past1000,r1i1p121,1851.0,Kenneth Lo (cdkkl@giss.nasa.gov),2012-06-14T19:59:18Z CMOR rewrote data to comply with CF standards and CMIP5 requirements.,,1,121,87c8857b-b286-480d-986c-22e5d2e13e22,output,historical,mon,2012-06-14T19:59:18Z,CF-1.4,CMIP5,Table Amon (31 January 2011) 53b766a395ac41696af40aab76a49ae5,GISS-E2-R model output prepared for CMIP5 historical,last millennium,atmos,1,2.5.7,lm,http://data.giss.nasa.gov/modelE/ar5,,,,,,,,,,,,,,,,,,,
"NASA/GISS (Goddard Institute for Space Studies) New York, NY",NASA-GISS,historical,GISS-E2-R-E4rhLMgTcs3 Atmosphere: GISS-E2; Ocean: R,GISS-E2-R,GHG LU Sl Vl (including orbital),past1000,r1i1p121,1851.0,Kenneth Lo (cdkkl@giss.nasa.gov),2012-06-15T14:18:08Z CMOR rewrote data to comply with CF standards and CMIP5 requirements.,,1,121,62f1a22a-9249-45cd-9fcb-85b5af3ce2c6,output,historical,mon,2012-06-15T14:18:08Z,CF-1.4,CMIP5,Table Amon (31 January 2011) 53b766a395ac41696af40aab76a49ae5,GISS-E2-R model output prepared for CMIP5 historical,last millennium,atmos,1,2.5.7,lm,http://data.giss.nasa.gov/modelE/ar5,,,,,,,,,,,,,,,,,,,
"NASA/GISS (Goddard Institute for Space Studies) New York, NY",NASA-GISS,historical,GISS-E2-R-E4rhLMgTgs3 Atmosphere: GISS-E2; Ocean: R,GISS-E2-R,GHG LU Sl Vl (including orbital),past1000,r1i1p122,1851.0,Kenneth Lo (cdkkl@giss.nasa.gov),2012-06-15T18:32:15Z CMOR rewrote data to comply with CF standards and CMIP5 requirements.,,1,122,e7dce69b-0e65-4006-98e0-7aabb7d93766,output,historical,mon,2012-06-15T18:32:15Z,CF-1.4,CMIP5,Table Amon (31 January 2011) 53b766a395ac41696af40aab76a49ae5,GISS-E2-R model output prepared for CMIP5 historical,last millennium,atmos,1,2.5.7,lm,http://data.giss.nasa.gov/modelE/ar5,,,,,,,,,,,,,,,,,,,
"NASA/GISS (Goddard Institute for Space Studies) New York, NY",NASA-GISS,historical,GISS-E2-R-E4rhLMgTs Atmosphere: GISS-E2; Ocean: R,GISS-E2-R,GHG LU Sl Vl (including orbital),past1000,r1i1p123,1851,Kenneth Lo (cdkkl@giss.nasa.gov),2012-09-04T19:04:59Z CMOR rewrote data to comply with CF standards and CMIP5 requirements.,,1,123,b88812a9-5c64-45fc-9fc5-e5973a379d41,output,historical,mon,2012-09-04T19:04:59Z,CF-1.4,CMIP5,Table Amon (31 January 2011) 2515019193f1c55327ceb0119627a708,GISS-E2-R model output prepared for CMIP5 historical,last millennium,atmos,1,2.5.7,lm,http://data.giss.nasa.gov/modelE/ar5,,,,,,,,,,,,,,,,,,,
"NASA/GISS (Goddard Institute for Space Studies) New York, NY",NASA-GISS,historical,GISS-E2-R-E4rhLMgTck Atmosphere: GISS-E2; Ocean: R,GISS-E2-R,GHG LU Sl Vl (including orbital),past1000,r1i1p124,1851.0,Kenneth Lo (cdkkl@giss.nasa.gov),2012-06-14T14:26:53Z CMOR rewrote data to comply with CF standards and CMIP5 requirements.,,1,124,90b419c7-43a1-49ea-bc9f-cbe2a45aea97,output,historical,mon,2012-06-14T14:26:53Z,CF-1.4,CMIP5,Table Amon (31 January 2011) 53b766a395ac41696af40aab76a49ae5,GISS-E2-R model output prepared for CMIP5 historical,last millennium,atmos,1,2.5.7,lm,http://data.giss.nasa.gov/modelE/ar5,,,,,,,,,,,,,,,,,,,
"NASA/GISS (Goddard Institute for Space Studies) New York, NY",NASA-GISS,historical,GISS-E2-R-E4rhLMgTKgk Atmosphere: GISS-E2; Ocean: R,GISS-E2-R,GHG LU Sl Vl (including orbital),past1000,r1i1p125,1851.0,Kenneth Lo (cdkkl@giss.nasa.gov),2012-06-13T16:24:42Z CMOR rewrote data to comply with CF standards and CMIP5 requirements.,,1,125,3ec68715-7eeb-4fea-ab3d-6ae9d4c7a9cc,output,historical,mon,2012-06-13T16:24:42Z,CF-1.4,CMIP5,Table Amon (31 January 2011) 53b766a395ac41696af40aab76a49ae5,GISS-E2-R model output prepared for CMIP5 historical,last millennium,atmos,1,2.5.7,lm,http://data.giss.nasa.gov/modelE/ar5,,,,,,,,,,,,,,,,,,,
"NASA/GISS (Goddard Institute for Space Studies) New York, NY",NASA-GISS,historical,GISS-E2-R-E4rhLMgTk Atmosphere: GISS-E2; Ocean: R,GISS-E2-R,GHG LU Sl Vl (including orbital),past1000,r1i1p126,1851,Kenneth Lo (cdkkl@giss.nasa.gov),2012-09-11T15:23:29Z CMOR rewrote data to comply with CF standards and CMIP5 requirements.,,1,126,a5db57b2-bfb4-419e-a460-f7a126639ca6,output,historical,mon,2012-09-11T15:23:29Z,CF-1.4,CMIP5,Table Amon (31 January 2011) 2515019193f1c55327ceb0119627a708,GISS-E2-R model output prepared for CMIP5 historical,last millennium,atmos,1,2.5.7,lm,http://data.giss.nasa.gov/modelE/ar5,,,,,,,,,,,,,,,,,,,
"NASA/GISS (Goddard Institute for Space Studies) New York, NY",NASA-GISS,historical,GISS-E2-R-E4rhLMgTKck Atmosphere: GISS-E2; Ocean: R,GISS-E2-R,GHG LU Sl Vl (including orbital),past1000,r1i1p127,1851.0,Kenneth Lo (cdkkl@giss.nasa.gov),2012-08-21T15:54:47Z CMOR rewrote data to comply with CF standards and CMIP5 requirements.,,1,127,67572902-2124-4e7e-8f02-1af85791a472,output,historical,mon,2012-08-21T15:54:47Z,CF-1.4,CMIP5,Table Amon (31 January 2011) 2515019193f1c55327ceb0119627a708,GISS-E2-R model output prepared for CMIP5 historical,last millennium,atmos,1,2.5.7,lm,http://data.giss.nasa.gov/modelE/ar5,,,,,,,,,,,,,,,,,,,
"NASA/GISS (Goddard Institute for Space Studies) New York, NY",NASA-GISS,historical,GISS-E2-R-E4rhLMgTgk3 Atmosphere: GISS-E2; Ocean: R,GISS-E2-R,GHG LU Sl Vl (including orbital),past1000,r1i1p128,1851,Kenneth Lo (cdkkl@giss.nasa.gov),2012-09-19T18:10:42Z CMOR rewrote data to comply with CF standards and CMIP5 requirements.,,1,128,8ed30321-a9de-419a-8e7d-2d000866b5bb,output,historical,mon,2012-09-19T18:10:42Z,CF-1.4,CMIP5,Table Amon (31 January 2011) 2515019193f1c55327ceb0119627a708,GISS-E2-R model output prepared for CMIP5 historical,last millennium,atmos,1,2.5.7,lm,http://data.giss.nasa.gov/modelE/ar5,,,,,,,,,,,,,,,,,,,
"NASA/GISS (Goddard Institute for Space Studies) New York, NY",NASA-GISS,past1000,GISS-E2-R-E4rhLMgTcs Atmosphere: GISS-E2; Ocean: R,GISS-E2-R,GHG LU Sl Vl (including orbital),piControl,r1i1p141,850.0,Kenneth Lo (cdkkl@giss.nasa.gov),2012-05-17T12:25:31Z CMOR rewrote data to comply with CF standards and CMIP5 requirements.,,1,121,a2284cb6-8506-47e1-ba85-cd40fae6cc7f,output,last millennium,mon,2012-05-17T12:25:31Z,CF-1.4,CMIP5,Table Amon (31 January 2011) 53b766a395ac41696af40aab76a49ae5,GISS-E2-R model output prepared for CMIP5 last millennium,pre-industrial control,atmos,1,2.5.7,lm,http://data.giss.nasa.gov/modelE/ar5,,,,,,,,,,,,,,,,,,,
"NASA/GISS (Goddard Institute for Space Studies) New York, NY",NASA-GISS,past1000,GISS-E2-R-E4rhLMgTgs Atmosphere: GISS-E2; Ocean: R,GISS-E2-R,GHG LU Sl Vl (including orbital),piControl,r1i1p141,850.0,Kenneth Lo (cdkkl@giss.nasa.gov),2012-05-24T12:45:38Z CMOR rewrote data to comply with CF standards and CMIP5 requirements.,,1,122,95239c62-f457-47bb-afa8-18527881c775,output,last millennium,mon,2012-05-24T12:45:38Z,CF-1.4,CMIP5,Table Amon (31 January 2011) 53b766a395ac41696af40aab76a49ae5,GISS-E2-R model output prepared for CMIP5 last millennium,pre-industrial control,atmos,1,2.5.7,lm,http://data.giss.nasa.gov/modelE/ar5,,,,,,,,,,,,,,,,,,,
"NASA/GISS (Goddard Institute for Space Studies) New York, NY",NASA-GISS,past1000,GISS-E2-R-E4rhLMgTgs3 Atmosphere: GISS-E2; Ocean: R,GISS-E2-R,GHG LU Sl Vl (including orbital),piControl,r1i1p141,850.0,Kenneth Lo (cdkkl@giss.nasa.gov),2012-06-01T18:29:38Z CMOR rewrote data to comply with CF standards and CMIP5 requirements.,,1,122,c4871f74-0df5-4570-9249-86683db267d1,output,last millennium,mon,2012-06-01T18:29:38Z,CF-1.4,CMIP5,Table Amon (31 January 2011) 53b766a395ac41696af40aab76a49ae5,GISS-E2-R model output prepared for CMIP5 last millennium,pre-industrial control,atmos,1,2.5.7,lm,http://data.giss.nasa.gov/modelE/ar5,,,,,,,,,,,,,,,,,,,
"NASA/GISS (Goddard Institute for Space Studies) New York, NY",NASA-GISS,past1000,GISS-E2-R-E4rhLMgTgs Atmosphere: GISS-E2; Ocean: R,GISS-E2-R,GHG LU Sl Vl (including orbital),piControl,r1i1p141,850.0,Kenneth Lo (cdkkl@giss.nasa.gov),2012-05-24T12:45:38Z CMOR rewrote data to comply with CF standards and CMIP5 requirements.,,1,1221,95239c62-f457-47bb-afa8-18527881c775,output,last millennium,mon,2012-05-24T12:45:38Z,CF-1.4,CMIP5,Table Amon (31 January 2011) 53b766a395ac41696af40aab76a49ae5,GISS-E2-R model output prepared for CMIP5 last millennium,pre-industrial control,atmos,1,2.5.7,lm,http://data.giss.nasa.gov/modelE/ar5,,,,,,,,,,,,,,,,,,,
"NASA/GISS (Goddard Institute for Space Studies) New York, NY",NASA-GISS,past1000,GISS-E2-R-E4rhLMgTgs5 Atmosphere: GISS-E2; Ocean: R,GISS-E2-R,GHG LU Sl Vl (including orbital),piControl,r1i1p141,850.0,Kenneth Lo (cdkkl@giss.nasa.gov),2013-05-20T13:07:13Z CMOR rewrote data to comply with CF standards and CMIP5 requirements.,,1,1221,88c1b8f8-eda1-453f-84ed-999161bfe6a4,output,last millennium,mon,2013-05-20T13:07:13Z,CF-1.4,CMIP5,Table Amon (31 January 2011) 2515019193f1c55327ceb0119627a708,GISS-E2-R model output prepared for CMIP5 last millennium,pre-industrial control,atmos,1,2.5.7,lm,http://data.giss.nasa.gov/modelE/ar5,,,,,,,,,,,,,,,,,,,
"NASA/GISS (Goddard Institute for Space Studies) New York, NY",NASA-GISS,past1000,GISS-E2-R-E4rhLMgTs Atmosphere: GISS-E2; Ocean: R,GISS-E2-R,GHG LU Sl Vl (including orbital),piControl,r1i1p141,850.0,Kenneth Lo (cdkkl@giss.nasa.gov),2012-08-23T19:23:58Z CMOR rewrote data to comply with CF standards and CMIP5 requirements.,,1,123,3db3e18a-5d2c-43bc-acba-759ae243f2bc,output,last millennium,mon,2012-08-23T19:23:58Z,CF-1.4,CMIP5,Table Amon (31 January 2011) 2515019193f1c55327ceb0119627a708,GISS-E2-R model output prepared for CMIP5 last millennium,pre-industrial control,atmos,1,2.5.7,lm,http://data.giss.nasa.gov/modelE/ar5,,,,,,,,,,,,,,,,,,,
"NASA/GISS (Goddard Institute for Space Studies) New York, NY",NASA-GISS,past1000,GISS-E2-R-E4rhLMgTck Atmosphere: GISS-E2; Ocean: R,GISS-E2-R,GHG LU Sl Vl (including orbital),piControl,r1i1p141,850.0,Kenneth Lo (cdkkl@giss.nasa.gov),2011-11-25T16:09:14Z CMOR rewrote data to comply with CF standards and CMIP5 requirements.,,1,124,eb49a38b-6816-4070-8a5c-74466d1850fa,output,last millennium,mon,2011-11-25T16:09:14Z,CF-1.4,CMIP5,Table Amon (31 January 2011) 53b766a395ac41696af40aab76a49ae5,GISS-E2-R model output prepared for CMIP5 last millennium,pre-industrial control,atmos,1,2.5.7,lm,http://data.giss.nasa.gov/modelE/ar5,,,,,,,,,,,,,,,,,,,
